Iout_real,SOC,Uout_real,K_0 (const),Uout_real – K_0,U_out_mean (const),Uout_real – U_out_mean (x),U_out_variance (const),standard deviation (const),normal distribution,,,,,,,for R_k,
0,14.9429777777778,50.55,42.759,7.791,6.420024,1.370976,1.483424,1.21795894840508,0.000061,,,,,,,,
-0.01,14.942975,50.56,42.759,7.801,6.420024,1.380976,1.483424,1.21795894840508,0.000063,,,,,,,,
0,14.942975,50.56,42.759,7.801,6.420024,1.380976,1.483424,1.21795894840508,0.000063,,,,,,,,
0,14.942975,50.58,42.759,7.821,6.420024,1.400976,1.483424,1.21795894840508,0.000067,,,,,,,,
-0.01,14.9429722222222,50.58,42.759,7.821,6.420024,1.400976,1.483424,1.21795894840508,0.000067,,,,,,,,
-0.01,14.9429694444444,50.59,42.759,7.831,6.420024,1.410976,1.483424,1.21795894840508,0.000070,,,,,,,,
0,14.9429694444444,50.59,42.759,7.831,6.420024,1.410976,1.483424,1.21795894840508,0.000070,,,,,,,,
-0.01,14.9429666666666,50.61,42.759,7.851,6.420024,1.430976,1.483424,1.21795894840508,0.000074,,,,,,,,
0,14.9429666666666,50.63,42.759,7.871,6.420024,1.450976,1.483424,1.21795894840508,0.000080,,,,,,,,
0,14.9429666666666,50.62,42.759,7.861,6.420024,1.440976,1.483424,1.21795894840508,0.000077,,,,,,,,
-0.01,14.9429638888889,50.64,42.759,7.881,6.420024,1.460976,1.483424,1.21795894840508,0.000082,,,,,,,,
0,14.9429638888889,50.64,42.759,7.881,6.420024,1.460976,1.483424,1.21795894840508,0.000082,,,,,,,,
-0.01,14.9429611111111,50.64,42.759,7.881,6.420024,1.460976,1.483424,1.21795894840508,0.000082,,,,,,,,
-0.01,14.9429583333333,50.64,42.759,7.881,6.420024,1.460976,1.483424,1.21795894840508,0.000082,,,,,,,,
-0.01,14.9429555555555,50.65,42.759,7.891,6.420024,1.470976,1.483424,1.21795894840508,0.000085,,,,,,,,
-0.01,14.9429527777778,50.67,42.759,7.911,6.420024,1.490976,1.483424,1.21795894840508,0.000091,,,,,,,,
-0.03,14.9429444444444,50.67,42.759,7.911,6.420024,1.490976,1.483424,1.21795894840508,0.000091,,,,,,,,
4.95,14.9443194444444,53.71,42.759,10.951,6.420024,4.530976,1.483424,1.21795894840508,0.098381,,,,,,,,
7.35,14.9463611111111,59.71,42.759,16.951,6.420024,10.530976,1.483424,1.21795894840508,0.001100,,,,,,,,
6.13,14.9480638888889,59.76,42.759,17.001,6.420024,10.580976,1.483424,1.21795894840508,0.000957,,,,,,,,
5.64,14.9496305555555,59.77,42.759,17.011,6.420024,10.590976,1.483424,1.21795894840508,0.000930,,,,,,,,
5.37,14.9511222222222,59.74,42.759,16.981,6.420024,10.560976,1.483424,1.21795894840508,0.001012,,,,,,,,
5.15,14.9525527777778,59.79,42.759,17.031,6.420024,10.610976,1.483424,1.21795894840508,0.000879,,,,,,,,
4.98,14.9539361111111,59.76,42.759,17.001,6.420024,10.580976,1.483424,1.21795894840508,0.000957,,,,,,,,
4.8,14.9552694444444,59.73,42.759,16.971,6.420024,10.550976,1.483424,1.21795894840508,0.001041,,,,,,,,
-0.01,14.9552666666666,52.44,42.759,9.681,6.420024,3.260976,1.483424,1.21795894840508,0.011336,,,,,,,,
-0.01,14.9552638888889,52.36,42.759,9.601,6.420024,3.180976,1.483424,1.21795894840508,0.009539,,,,,,,,
-0.01,14.9552611111111,52.3,42.759,9.541,6.420024,3.120976,1.483424,1.21795894840508,0.008358,,,,,,,,
-0.01,14.9552583333333,52.22,42.759,9.461,6.420024,3.040976,1.483424,1.21795894840508,0.006981,,,,,,,,
0,14.9552583333333,52.18,42.759,9.421,6.420024,3.000976,1.483424,1.21795894840508,0.006369,,,,,,,,
-0.01,14.9552555555555,52.14,42.759,9.381,6.420024,2.960976,1.483424,1.21795894840508,0.005805,,,,,,,,
0,14.9552555555555,52.12,42.759,9.361,6.420024,2.940976,1.483424,1.21795894840508,0.005540,,,,,,,,
-0.01,14.9552527777778,52.05,42.759,9.291,6.420024,2.870976,1.483424,1.21795894840508,0.004693,,,,,,,,
-0.01,14.95525,52.03,42.759,9.271,6.420024,2.850976,1.483424,1.21795894840508,0.004473,,,,,,,,
0,14.95525,52,42.759,9.241,6.420024,2.820976,1.483424,1.21795894840508,0.004161,,,,,,,,
-0.01,14.9552472222222,51.95,42.759,9.191,6.420024,2.770976,1.483424,1.21795894840508,0.003682,,,,,,,,
-0.01,14.9552444444444,51.94,42.759,9.181,6.420024,2.760976,1.483424,1.21795894840508,0.003593,,,,,,,,
-0.01,14.9552416666666,51.89,42.759,9.131,6.420024,2.710976,1.483424,1.21795894840508,0.003173,,,,,,,,
-0.03,14.9552333333333,51.88,42.759,9.121,6.420024,2.700976,1.483424,1.21795894840508,0.003095,,,,,,,,
0,14.9552333333333,51.87,42.759,9.111,6.420024,2.690976,1.483424,1.21795894840508,0.003018,,,,,,,,
-0.01,14.9552305555555,51.87,42.759,9.111,6.420024,2.690976,1.483424,1.21795894840508,0.003018,,,,,,,,
-0.01,14.9552277777777,51.83,42.759,9.071,6.420024,2.650976,1.483424,1.21795894840508,0.002728,,,,,,,,
0,14.9552277777777,51.81,42.759,9.051,6.420024,2.630976,1.483424,1.21795894840508,0.002592,,,,,,,,
0,14.9552277777777,51.84,42.759,9.081,6.420024,2.660976,1.483424,1.21795894840508,0.002798,,,,,,,,
-0.01,14.955225,51.77,42.759,9.011,6.420024,2.590976,1.483424,1.21795894840508,0.002339,,,,,,,,
0,14.955225,51.75,42.759,8.991,6.420024,2.570976,1.483424,1.21795894840508,0.002221,,,,,,,,
0,14.955225,51.78,42.759,9.021,6.420024,2.600976,1.483424,1.21795894840508,0.002400,,,,,,,,
0,14.955225,51.72,42.759,8.961,6.420024,2.540976,1.483424,1.21795894840508,0.002054,,,,,,,,
0,14.955225,51.71,42.759,8.951,6.420024,2.530976,1.483424,1.21795894840508,0.002001,,,,,,,,
0,14.955225,51.69,42.759,8.931,6.420024,2.510976,1.483424,1.21795894840508,0.001899,,,,,,,,
0.01,14.9552277777777,51.7,42.759,8.941,6.420024,2.520976,1.483424,1.21795894840508,0.001949,,,,,,,,
0,14.9552277777777,51.66,42.759,8.901,6.420024,2.480976,1.483424,1.21795894840508,0.001754,,,,,,,,
0,14.9552277777777,51.65,42.759,8.891,6.420024,2.470976,1.483424,1.21795894840508,0.001708,,,,,,,,
0,14.9552277777777,51.66,42.759,8.901,6.420024,2.480976,1.483424,1.21795894840508,0.001754,,,,,,,,
0,14.9552277777777,51.62,42.759,8.861,6.420024,2.440976,1.483424,1.21795894840508,0.001576,,,,,,,,
-0.01,14.955225,51.6,42.759,8.841,6.420024,2.420976,1.483424,1.21795894840508,0.001494,,,,,,,,
0,14.955225,51.6,42.759,8.841,6.420024,2.420976,1.483424,1.21795894840508,0.001494,,,,,,,,
0,14.955225,51.59,42.759,8.831,6.420024,2.410976,1.483424,1.21795894840508,0.001454,,,,,,,,
-0.01,14.9552222222222,51.55,42.759,8.791,6.420024,2.370976,1.483424,1.21795894840508,0.001304,,,,,,,,
0.01,14.955225,51.6,42.759,8.841,6.420024,2.420976,1.483424,1.21795894840508,0.001494,,,,,,,,
0.01,14.9552277777777,51.58,42.759,8.821,6.420024,2.400976,1.483424,1.21795894840508,0.001415,,,,,,,,
0,14.9552277777777,51.54,42.759,8.781,6.420024,2.360976,1.483424,1.21795894840508,0.001269,,,,,,,,
0,14.9552277777777,51.53,42.759,8.771,6.420024,2.350976,1.483424,1.21795894840508,0.001235,,,,,,,,
0,14.9552277777777,51.51,42.759,8.751,6.420024,2.330976,1.483424,1.21795894840508,0.001169,,,,,,,,
0,14.9552277777777,51.51,42.759,8.751,6.420024,2.330976,1.483424,1.21795894840508,0.001169,,,,,,,,
0,14.9552277777777,51.5,42.759,8.741,6.420024,2.320976,1.483424,1.21795894840508,0.001137,,,,,,,,
0,14.9552277777777,51.48,42.759,8.721,6.420024,2.300976,1.483424,1.21795894840508,0.001076,,,,,,,,
0,14.9552277777777,51.52,42.759,8.761,6.420024,2.340976,1.483424,1.21795894840508,0.001201,,,,,,,,
-0.01,14.955225,51.48,42.759,8.721,6.420024,2.300976,1.483424,1.21795894840508,0.001076,,,,,,,,
0.01,14.9552277777777,51.51,42.759,8.751,6.420024,2.330976,1.483424,1.21795894840508,0.001169,,,,,,,,
-0.01,14.955225,51.47,42.759,8.711,6.420024,2.290976,1.483424,1.21795894840508,0.001046,,,,,,,,
0,14.955225,51.45,42.759,8.691,6.420024,2.270976,1.483424,1.21795894840508,0.000989,,,,,,,,
0.01,14.9552277777777,51.47,42.759,8.711,6.420024,2.290976,1.483424,1.21795894840508,0.001046,,,,,,,,
-0.01,14.955225,51.45,42.759,8.691,6.420024,2.270976,1.483424,1.21795894840508,0.000989,,,,,,,,
0,14.955225,51.44,42.759,8.681,6.420024,2.260976,1.483424,1.21795894840508,0.000962,,,,,,,,
0.01,14.9552277777777,51.45,42.759,8.691,6.420024,2.270976,1.483424,1.21795894840508,0.000989,,,,,,,,
0,14.9552277777777,51.43,42.759,8.671,6.420024,2.250976,1.483424,1.21795894840508,0.000935,,,,,,,,
0,14.9552277777777,51.41,42.759,8.651,6.420024,2.230976,1.483424,1.21795894840508,0.000884,,,,,,,,
0,14.9552277777777,51.41,42.759,8.651,6.420024,2.230976,1.483424,1.21795894840508,0.000884,,,,,,,,
-0.01,14.955225,51.37,42.759,8.611,6.420024,2.190976,1.483424,1.21795894840508,0.000789,,,,,,,,
0.01,14.9552277777777,51.42,42.759,8.661,6.420024,2.240976,1.483424,1.21795894840508,0.000909,,,,,,,,
-0.01,14.955225,51.37,42.759,8.611,6.420024,2.190976,1.483424,1.21795894840508,0.000789,,,,,,,,
0.01,14.9552277777777,51.42,42.759,8.661,6.420024,2.240976,1.483424,1.21795894840508,0.000909,,,,,,,,
0,14.9552277777777,51.37,42.759,8.611,6.420024,2.190976,1.483424,1.21795894840508,0.000789,,,,,,,,
0,14.9552277777777,51.37,42.759,8.611,6.420024,2.190976,1.483424,1.21795894840508,0.000789,,,,,,,,
-0.01,14.955225,51.37,42.759,8.611,6.420024,2.190976,1.483424,1.21795894840508,0.000789,,,,,,,,
-0.01,14.9552222222222,51.37,42.759,8.611,6.420024,2.190976,1.483424,1.21795894840508,0.000789,,,,,,,,
-0.01,14.9552194444444,51.35,42.759,8.591,6.420024,2.170976,1.483424,1.21795894840508,0.000745,,,,,,,,
-0.01,14.9552166666666,51.35,42.759,8.591,6.420024,2.170976,1.483424,1.21795894840508,0.000745,,,,,,,,
-0.03,14.9552083333333,51.33,42.759,8.571,6.420024,2.150976,1.483424,1.21795894840508,0.000704,,,,,,,,
-0.01,14.9552055555555,51.35,42.759,8.591,6.420024,2.170976,1.483424,1.21795894840508,0.000745,,,,,,,,
-0.01,14.9552027777777,51.34,42.759,8.581,6.420024,2.160976,1.483424,1.21795894840508,0.000724,,,,,,,,
0,14.9552027777777,51.36,42.759,8.601,6.420024,2.180976,1.483424,1.21795894840508,0.000767,,,,,,,,
0,14.9552027777777,51.32,42.759,8.561,6.420024,2.140976,1.483424,1.21795894840508,0.000684,,,,,,,,
-0.01,14.9552,51.32,42.759,8.561,6.420024,2.140976,1.483424,1.21795894840508,0.000684,,,,,,,,
-0.01,14.9551972222222,51.31,42.759,8.551,6.420024,2.130976,1.483424,1.21795894840508,0.000664,,,,,,,,
-0.01,14.9551944444444,51.31,42.759,8.551,6.420024,2.130976,1.483424,1.21795894840508,0.000664,,,,,,,,
-0.01,14.9551916666666,51.31,42.759,8.551,6.420024,2.130976,1.483424,1.21795894840508,0.000664,,,,,,,,
0,14.9551916666666,51.33,42.759,8.571,6.420024,2.150976,1.483424,1.21795894840508,0.000704,,,,,,,,
-0.01,14.9551888888889,51.29,42.759,8.531,6.420024,2.110976,1.483424,1.21795894840508,0.000627,,,,,,,,
-0.01,14.9551861111111,51.31,42.759,8.551,6.420024,2.130976,1.483424,1.21795894840508,0.000664,,,,,,,,
-0.01,14.9551833333333,51.29,42.759,8.531,6.420024,2.110976,1.483424,1.21795894840508,0.000627,,,,,,,,
0,14.9551833333333,51.29,42.759,8.531,6.420024,2.110976,1.483424,1.21795894840508,0.000627,,,,,,,,
0,14.9551833333333,51.29,42.759,8.531,6.420024,2.110976,1.483424,1.21795894840508,0.000627,,,,,,,,
0,14.9551833333333,51.28,42.759,8.521,6.420024,2.100976,1.483424,1.21795894840508,0.000609,,,,,,,,
0.01,14.9551861111111,51.3,42.759,8.541,6.420024,2.120976,1.483424,1.21795894840508,0.000645,,,,,,,,
-0.03,14.9551777777777,51.25,42.759,8.491,6.420024,2.070976,1.483424,1.21795894840508,0.000558,,,,,,,,
0,14.9551777777777,51.28,42.759,8.521,6.420024,2.100976,1.483424,1.21795894840508,0.000609,,,,,,,,
0.01,14.9551805555555,51.3,42.759,8.541,6.420024,2.120976,1.483424,1.21795894840508,0.000645,,,,,,,,
0,14.9551805555555,51.26,42.759,8.501,6.420024,2.080976,1.483424,1.21795894840508,0.000574,,,,,,,,
0,14.9551805555555,51.26,42.759,8.501,6.420024,2.080976,1.483424,1.21795894840508,0.000574,,,,,,,,
0,14.9551805555555,51.26,42.759,8.501,6.420024,2.080976,1.483424,1.21795894840508,0.000574,,,,,,,,
0,14.9551805555555,51.25,42.759,8.491,6.420024,2.070976,1.483424,1.21795894840508,0.000558,,,,,,,,
-0.01,14.9551777777777,51.25,42.759,8.491,6.420024,2.070976,1.483424,1.21795894840508,0.000558,,,,,,,,
0,14.9551777777777,51.27,42.759,8.511,6.420024,2.090976,1.483424,1.21795894840508,0.000592,,,,,,,,
0,14.9551777777777,51.25,42.759,8.491,6.420024,2.070976,1.483424,1.21795894840508,0.000558,,,,,,,,
0,14.9551777777777,51.25,42.759,8.491,6.420024,2.070976,1.483424,1.21795894840508,0.000558,,,,,,,,
0,14.9551777777777,51.23,42.759,8.471,6.420024,2.050976,1.483424,1.21795894840508,0.000526,,,,,,,,
-0.01,14.955175,51.23,42.759,8.471,6.420024,2.050976,1.483424,1.21795894840508,0.000526,,,,,,,,
