Ibat,SOC,Ubat,,,,
0,4.9591777777778,22.82,,,,
0,4.9591777777778,22.81,,,,
0,4.9591777777778,22.83,,,,
-0.03,4.95916944444446,22.8,,,,
0.03,4.9591777777778,22.83,,,,
0,4.9591777777778,22.81,,,,
0,4.9591777777778,22.81,,,,
-0.01,4.95917500000002,22.81,,,,
0,4.95917500000002,22.8,,,,
0,4.95917500000002,22.81,,,,
0.01,4.9591777777778,22.81,,,,
0,4.9591777777778,22.81,,,,
-0.01,4.95917500000002,22.8,,,,
0,4.95917500000002,22.8,,,,
0,4.95917500000002,22.8,,,,
-0.01,4.95917222222224,22.8,,,,
0,4.95917222222224,22.81,,,,
-0.01,4.95916944444446,22.8,,,,
-0.01,4.95916666666669,22.81,,,,
-0.01,4.95916388888891,22.8,,,,
0,4.95916388888891,22.81,,,,
-0.01,4.95916111111113,22.81,,,,
0,4.95916111111113,22.81,,,,
0,4.95916111111113,22.81,,,,
-0.01,4.95915833333335,22.81,,,,
-0.01,4.95915555555558,22.81,,,,
-0.01,4.9591527777778,22.8,,,,
0,4.9591527777778,22.8,,,,
-0.01,4.95915000000002,22.8,,,,
-0.01,4.95914722222224,22.8,,,,
0,4.95914722222224,22.81,,,,
0,4.95914722222224,22.81,,,,
0,4.95914722222224,22.81,,,,
0.01,4.95915000000002,22.81,,,,
0,4.95915000000002,22.82,,,,
-0.01,4.95914722222224,22.8,,,,
0,4.95914722222224,22.81,,,,
-0.01,4.95914444444447,22.8,,,,
0,4.95914444444447,22.81,,,,
0,4.95914444444447,22.8,,,,
0,4.95914444444447,22.82,,,,
0,4.95914444444447,22.8,,,,
-0.01,4.95914166666669,22.81,,,,
0,4.95914166666669,22.82,,,,
-0.01,4.95913888888891,22.8,,,,
0,4.95913888888891,22.82,,,,
-0.01,4.95913611111113,22.8,,,,
0.01,4.95913888888891,22.82,,,,
0,4.95913888888891,22.82,,,,
-0.01,4.95913611111113,22.8,,,,
0,4.95913611111113,22.82,,,,
-0.01,4.95913333333335,22.8,,,,
0,4.95913333333335,22.8,,,,
