N,I_Real,SOC,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear,squared_Err_non_linear,SOC,,,,,,
61,-0.69,0.998856,25.99,27.8147,26.0137,79.2764,54.8994,-245507,-293314,1.82466,3.3293841156,0.998856,,,,,,
62,-0.64,0.998854,26.01,27.8167,26.0157,79.2763,54.7602,-245404,-293211,1.80673,3.2642732929,0.998854,,,,,,
63,-0.69,0.998851,26,27.8146,26.0135,79.2763,54.8297,-245505,-293310,1.81461,3.2928094521,0.998851,,,,,,
64,-0.64,0.998849,26.01,27.8167,26.0155,79.2762,54.7602,-245403,-293208,1.80668,3.2640926224,0.998849,,,,,,
65,-0.69,0.998846,25.99,27.8146,26.0133,79.2762,54.8994,-245504,-293307,1.82457,3.3290556849,0.998846,,,,,,
66,-0.64,0.998844,26,27.8166,26.0152,79.2761,54.8297,-245402,-293204,1.81664,3.3001808896,0.998844,,,,,,
67,-0.69,0.998842,25.99,27.8145,26.013,79.2761,54.8994,-245503,-293304,1.82452,3.3288732304,0.998842,,,,,,
68,-0.64,0.998839,26,27.8166,26.015,79.276,54.8297,-245400,-293201,1.8166,3.30003556,0.998839,,,,,,
69,-0.64,0.998837,26,27.8166,26.0149,79.276,54.8297,-245502,-293300,1.81658,3.2999628964,0.998837,,,,,,
70,-0.64,0.998834,26,27.8166,26.0148,79.2759,54.8297,-245501,-293298,1.81656,3.2998902336,0.998834,,,,,,
71,-0.69,0.998832,25.99,27.8144,26.0125,79.2759,54.8994,-245500,-293297,1.82444,3.3285813136,0.998832,,,,,,
72,-0.64,0.998829,26,27.8165,26.0145,79.2759,54.8297,-245398,-293194,1.81651,3.2997085801,0.998829,,,,,,
73,-0.64,0.998827,26,27.8165,26.0145,79.2758,54.8297,-245499,-293293,1.81649,3.2996359201,0.998827,,,,,,
74,-0.59,0.998825,26,27.8186,26.0165,79.2758,54.8297,-245499,-293292,1.81856,3.3071604736,0.998825,,,,,,
75,-0.69,0.998822,25.99,27.8144,26.0122,79.2757,54.8994,-245600,-293391,1.82435,3.3282529225,0.998822,,,,,,
76,-0.69,0.99882,25.99,27.8143,26.012,79.2757,54.8994,-245396,-293188,1.82433,3.3281799489,0.99882,,,,,,
77,-0.69,0.998817,25.99,27.8143,26.0119,79.2756,54.8994,-245395,-293186,1.82431,3.3281069761,0.998817,,,,,,
78,-0.64,0.998815,26,27.8164,26.0139,79.2756,54.8297,-245394,-293184,1.81638,3.2992363044,0.998815,,,,,,
79,-0.64,0.998812,26,27.8164,26.0139,79.2755,54.8297,-245496,-293283,1.81636,3.2991636496,0.998812,,,,,,
80,-0.28,0.998811,25.94,27.8314,26.0286,79.2755,55.2485,-245495,-293282,1.89142,3.5774696164,0.998811,,,,,,
81,-0.23,0.998811,25.95,27.8335,26.0305,79.2754,55.1785,-246227,-294007,1.8835,3.54757225,0.998811,,,,,,
82,-0.23,0.99881,25.96,27.8335,26.0302,79.2754,55.1087,-246329,-294106,1.8735,3.51000225,0.99881,,,,,,
83,-0.28,0.998809,26.03,27.8314,26.0281,79.2754,54.6212,-246329,-294105,1.80139,3.2450059321,0.998809,,,,,,
84,-0.59,0.998807,26.02,27.8184,26.0152,79.2753,54.6906,-246227,-294003,1.7984,3.23424256,0.998807,,,,,,
85,-0.64,0.998804,26,27.8163,26.013,79.2753,54.8297,-245595,-293376,1.81628,3.2988730384,0.998804,,,,,,
86,-0.64,0.998802,26,27.8163,26.0129,79.2753,54.8297,-245493,-293273,1.81626,3.2988003876,0.998802,,,,,,
87,-0.59,0.9988,26.01,27.8183,26.015,79.2752,54.7602,-245492,-293271,1.80833,3.2700573889,0.9988,,,,,,
88,-0.64,0.998797,26,27.8162,26.0129,79.2752,54.8297,-245594,-293371,1.81622,3.2986550884,0.998797,,,,,,
89,-0.64,0.998795,26,27.8162,26.0128,79.2751,54.8297,-245491,-293268,1.8162,3.29858244,0.998795,,,,,,
