N,I_Real,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear
4204,0,50.36,50.2573,50.3324,50.4365,0.905913,50.2934,50.4449,0.0666154
4205,0,50.36,50.2573,50.3325,50.4361,0.905913,50.2934,50.4445,0.0666154
4206,0.01,50.39,50.2607,50.3359,50.4359,0.909444,50.2934,50.4451,0.0966154
4207,0.01,50.39,50.2607,50.336,50.4356,0.909444,50.2969,50.4483,0.0931479
4208,-0.01,50.33,50.2539,50.3291,50.4351,0.902375,50.2969,50.446,0.0331479
4209,0,50.36,50.2573,50.3325,50.4348,0.905913,50.2899,50.4398,0.0700792
4210,0,50.36,50.2573,50.3325,50.4344,0.905913,50.2934,50.4428,0.0666154
4211,0.01,50.38,50.2607,50.336,50.4341,0.908268,50.2934,50.4431,0.0866155
4212,0,50.36,50.2573,50.3326,50.4338,0.905913,50.2969,50.4456,0.0631479
4213,0,50.37,50.2573,50.3326,50.4334,0.90709,50.2934,50.4422,0.0766116
4214,0,50.37,50.2573,50.3326,50.4331,0.90709,50.2934,50.4419,0.0766116
4215,0,50.37,50.2573,50.3326,50.4328,0.90709,50.2934,50.4416,0.0766116
4216,0.01,50.38,50.2607,50.3361,50.4325,0.908268,50.2934,50.4416,0.0866116
4217,0,50.36,50.2573,50.3326,50.4322,0.905913,50.2969,50.444,0.0631441
4218,-0.01,50.33,50.2539,50.3292,50.4317,0.902375,50.2934,50.4393,0.0366116
4219,0.01,50.38,50.2607,50.3361,50.4314,0.908268,50.2899,50.4372,0.0900792
4220,0,50.36,50.2573,50.3327,50.4311,0.905913,50.2969,50.443,0.0631441
4221,0.01,50.38,50.2607,50.3361,50.4308,0.908268,50.2934,50.4399,0.0866116
4222,-0.01,50.37,50.2539,50.3293,50.4305,0.90709,50.2969,50.4427,0.0731441
4223,0.01,50.38,50.2607,50.3362,50.4303,0.908268,50.2899,50.436,0.0900754
4224,0,50.36,50.2573,50.3327,50.4299,0.905913,50.2969,50.4418,0.0631441
4225,0,50.36,50.2573,50.3328,50.4296,0.905913,50.2934,50.4381,0.0666078
4226,-0.01,50.33,50.2539,50.3293,50.4291,0.902375,50.2934,50.4368,0.0366078
4227,0,50.36,50.2573,50.3328,50.4288,0.905913,50.2899,50.434,0.0700754
4228,0.01,50.38,50.2607,50.3362,50.4285,0.908268,50.2934,50.4377,0.0866116
4229,0,50.36,50.2573,50.3328,50.4282,0.905913,50.2969,50.4401,0.0631441
4230,0.01,50.38,50.2608,50.3363,50.4279,0.908268,50.2934,50.4371,0.0866078
4231,0,50.38,50.2573,50.3328,50.4276,0.908268,50.2969,50.4402,0.0831441
4232,0,50.36,50.2573,50.3328,50.4273,0.905913,50.2934,50.4359,0.0666078
4233,-0.01,50.36,50.2539,50.3294,50.427,0.905913,50.2934,50.4356,0.0666078
4234,0,50.36,50.2573,50.3329,50.4267,0.905913,50.2899,50.4319,0.0700754
4235,0,50.36,50.2573,50.3329,50.4263,0.905913,50.2934,50.435,0.0666078
4236,0,50.36,50.2573,50.3329,50.426,0.905913,50.2934,50.4347,0.0666078
4237,0.01,50.38,50.2608,50.3364,50.4258,0.908268,50.2934,50.435,0.0866078
4238,0,50.36,50.2573,50.3329,50.4254,0.905913,50.2969,50.4375,0.0631441
4239,0,50.36,50.2573,50.3329,50.4251,0.905913,50.2934,50.4338,0.0666078
4240,0.01,50.39,50.2608,50.3364,50.4249,0.909444,50.2934,50.4345,0.0966078
4241,0,50.36,50.2573,50.333,50.4246,0.905913,50.2969,50.4366,0.0631403
4242,0,50.36,50.2573,50.333,50.4243,0.905913,50.2934,50.433,0.0666078
4243,0.01,50.38,50.2608,50.3364,50.424,0.908268,50.2934,50.4333,0.0866078
4244,0,50.36,50.2573,50.333,50.4237,0.905913,50.2969,50.4358,0.0631403
4245,0,50.36,50.2573,50.333,50.4234,0.905913,50.2934,50.4321,0.066604
4246,0,50.37,50.2573,50.333,50.4231,0.90709,50.2934,50.4321,0.076604
4247,0,50.36,50.2573,50.3331,50.4228,0.905913,50.2934,50.4315,0.066604
4248,0,50.36,50.2573,50.3331,50.4225,0.905913,50.2934,50.4312,0.066604
4249,0,50.36,50.2573,50.3331,50.4222,0.905913,50.2934,50.4309,0.066604
4250,-0.01,50.36,50.2539,50.3296,50.4219,0.905913,50.2934,50.4306,0.066604
4251,0,50.36,50.2573,50.3331,50.4216,0.905913,50.2899,50.427,0.0700716
4252,0,50.36,50.2573,50.3331,50.4213,0.905913,50.2934,50.43,0.0666078
4253,0,50.36,50.2573,50.3331,50.4209,0.905913,50.2934,50.4297,0.0666078
4254,0,50.36,50.2573,50.3331,50.4206,0.905913,50.2934,50.4295,0.0666078
4255,-0.01,50.33,50.2539,50.3297,50.4202,0.902375,50.2934,50.4281,0.0366078
4256,0,50.36,50.2573,50.3331,50.4199,0.905913,50.2899,50.4254,0.0700716
4257,0.01,50.38,50.2608,50.3366,50.4197,0.908268,50.2934,50.4291,0.0866078
4258,0,50.36,50.2573,50.3332,50.4194,0.905913,50.2969,50.4316,0.0631403
4259,0,50.36,50.2573,50.3332,50.4191,0.905913,50.2934,50.4279,0.0666078
4260,0,50.36,50.2573,50.3332,50.4188,0.905913,50.2934,50.4277,0.0666078
4261,0,50.36,50.2573,50.3332,50.4185,0.905913,50.2934,50.4274,0.0666078
4262,0,50.36,50.2573,50.3332,50.4182,0.905913,50.2934,50.4271,0.0666078
4263,0.01,50.38,50.2608,50.3367,50.418,0.908268,50.2934,50.4275,0.0866078
4264,0,50.36,50.2573,50.3333,50.4177,0.905913,50.2969,50.43,0.0631403
4265,0,50.36,50.2573,50.3333,50.4174,0.905913,50.2934,50.4263,0.066604
4266,0,50.36,50.2573,50.3333,50.4171,0.905913,50.2934,50.426,0.066604
4267,0,50.36,50.2573,50.3333,50.4168,0.905913,50.2934,50.4257,0.066604
4268,0,50.34,50.2573,50.3333,50.4165,0.903555,50.2934,50.4248,0.046604
4269,0,50.34,50.2573,50.3333,50.4161,0.903555,50.2934,50.4244,0.046604
4270,0.01,50.37,50.2608,50.3368,50.4158,0.90709,50.2934,50.4251,0.076604
4271,0.01,50.38,50.2608,50.3368,50.4156,0.908268,50.2969,50.4285,0.0831364
4272,-0.01,50.33,50.2539,50.3299,50.4152,0.902375,50.2969,50.4266,0.0331364
4273,0,50.34,50.2573,50.3333,50.4149,0.903555,50.2899,50.4199,0.0500677
4274,0,50.36,50.2573,50.3333,50.4146,0.905913,50.2934,50.4236,0.066604
4275,0.01,50.38,50.2608,50.3368,50.4144,0.908268,50.2934,50.424,0.086604
4276,-0.01,50.33,50.2539,50.3299,50.414,0.902375,50.2969,50.4254,0.0331364
4277,0,50.36,50.2573,50.3334,50.4137,0.905913,50.2899,50.4194,0.0700677
